filing_date,fiscal_period,fiscal_year,total_assets,current_assets,noncurrent_assets,total_liabilities,current_liabilities,noncurrent_liabilities,stockholders_equity,retained_earnings
2012-07-25,Q3,2012,162896000000.0,51943000000.0,110953000000.0,51150000000.0,33060000000.0,18090000000.0,111746000000.0,111746000000.0
2013-01-24,Q1,2013,196088000000.0,72348000000.0,123740000000.0,68742000000.0,46879000000.0,21863000000.0,127346000000.0,127346000000.0
2013-04-24,Q2,2013,194743000000.0,63337000000.0,131406000000.0,59253000000.0,35508000000.0,23745000000.0,135490000000.0,135490000000.0
2013-07-24,Q3,2013,199856000000.0,68219000000.0,131637000000.0,76502000000.0,36319000000.0,40183000000.0,123354000000.0,123354000000.0
2014-01-28,Q1,2014,225184000000.0,80347000000.0,144837000000.0,95500000000.0,53769000000.0,41731000000.0,129684000000.0,129684000000.0
2014-04-24,Q2,2014,205989000000.0,70541000000.0,135448000000.0,85810000000.0,43208000000.0,42602000000.0,120179000000.0,120179000000.0
2014-07-23,Q3,2014,222520000000.0,67949000000.0,154571000000.0,101580000000.0,46205000000.0,55375000000.0,120940000000.0,120940000000.0
2015-01-28,Q1,2015,261894000000.0,83403000000.0,178491000000.0,138566000000.0,73611000000.0,64955000000.0,123328000000.0,123328000000.0
2015-04-28,Q2,2015,261194000000.0,67891000000.0,193303000000.0,132188000000.0,58729000000.0,73459000000.0,129006000000.0,129006000000.0
2015-07-22,Q3,2015,273151000000.0,70953000000.0,202198000000.0,147474000000.0,65285000000.0,82189000000.0,125677000000.0,125677000000.0
2016-01-27,Q1,2016,293284000000.0,76219000000.0,217065000000.0,165017000000.0,76092000000.0,88925000000.0,128267000000.0,128267000000.0
2016-04-27,Q2,2016,305277000000.0,87592000000.0,217685000000.0,174820000000.0,68265000000.0,106555000000.0,130457000000.0,130457000000.0
2016-07-27,Q3,2016,305602000000.0,93761000000.0,211841000000.0,179061000000.0,71486000000.0,107575000000.0,126541000000.0,126541000000.0
2017-02-01,Q1,2017,331141000000.0,103332000000.0,227809000000.0,198751000000.0,84130000000.0,114621000000.0,132390000000.0,132390000000.0
2017-05-03,Q2,2017,334532000000.0,101990000000.0,232542000000.0,200450000000.0,73342000000.0,127108000000.0,134082000000.0,134082000000.0
2017-08-02,Q3,2017,345173000000.0,112875000000.0,232298000000.0,212748000000.0,81302000000.0,131446000000.0,132425000000.0,132425000000.0
2018-02-02,Q1,2018,406794000000.0,143810000000.0,262984000000.0,266595000000.0,115788000000.0,150807000000.0,140199000000.0,140199000000.0
2018-05-02,Q2,2018,367502000000.0,130053000000.0,237449000000.0,240624000000.0,89320000000.0,151304000000.0,126878000000.0,126878000000.0
2018-08-01,Q3,2018,349197000000.0,115761000000.0,233436000000.0,234248000000.0,88548000000.0,145700000000.0,114949000000.0,114949000000.0
2019-01-30,Q1,2019,373719000000.0,140828000000.0,232891000000.0,255827000000.0,108283000000.0,147544000000.0,117892000000.0,117892000000.0
2019-05-01,Q2,2019,341998000000.0,123346000000.0,218652000000.0,236138000000.0,93772000000.0,142366000000.0,105860000000.0,105860000000.0
2019-07-31,Q3,2019,322239000000.0,134973000000.0,187266000000.0,225783000000.0,89704000000.0,136079000000.0,96456000000.0,96456000000.0
2020-01-29,Q1,2020,340618000000.0,163231000000.0,177387000000.0,251087000000.0,102161000000.0,148926000000.0,89531000000.0,89531000000.0
2020-05-01,Q2,2020,320400000000.0,143753000000.0,176647000000.0,241975000000.0,96094000000.0,145881000000.0,78425000000.0,78425000000.0
2020-07-31,Q3,2020,317344000000.0,140065000000.0,177279000000.0,245062000000.0,95318000000.0,149744000000.0,72282000000.0,72282000000.0
2021-01-28,Q1,2021,354054000000.0,154106000000.0,199948000000.0,287830000000.0,132507000000.0,155323000000.0,66224000000.0,66224000000.0
2021-04-29,Q2,2021,337158000000.0,121465000000.0,215693000000.0,267980000000.0,106385000000.0,161595000000.0,69178000000.0,69178000000.0
2021-07-28,Q3,2021,329840000000.0,114423000000.0,215417000000.0,265560000000.0,107754000000.0,157806000000.0,64280000000.0,64280000000.0
2022-01-28,Q1,2022,381191000000.0,153154000000.0,228037000000.0,309259000000.0,147574000000.0,161685000000.0,71932000000.0,71932000000.0
2022-04-29,Q2,2022,350662000000.0,118180000000.0,232482000000.0,283263000000.0,127508000000.0,155755000000.0,67399000000.0,67399000000.0
2022-07-29,Q3,2022,336309000000.0,112292000000.0,224017000000.0,278202000000.0,129873000000.0,148329000000.0,58107000000.0,58107000000.0
2023-02-03,Q1,2023,346747000000.0,128777000000.0,217970000000.0,290020000000.0,137286000000.0,152734000000.0,56727000000.0,56727000000.0
2023-05-05,Q2,2023,332160000000.0,112913000000.0,219247000000.0,270002000000.0,120075000000.0,149927000000.0,62158000000.0,62158000000.0
2023-08-04,Q3,2023,335038000000.0,122659000000.0,212379000000.0,274764000000.0,124963000000.0,149801000000.0,60274000000.0,60274000000.0
2024-02-02,Q1,2024,353514000000.0,143692000000.0,209822000000.0,279414000000.0,133973000000.0,145441000000.0,74100000000.0,74100000000.0
2024-05-03,Q2,2024,337411000000.0,128416000000.0,208995000000.0,263217000000.0,123822000000.0,139395000000.0,74194000000.0,74194000000.0
2024-08-02,Q3,2024,331612000000.0,125435000000.0,206177000000.0,264904000000.0,131624000000.0,133280000000.0,66708000000.0,66708000000.0
2025-01-31,Q1,2025,344085000000.0,133240000000.0,210845000000.0,277327000000.0,144365000000.0,132962000000.0,66758000000.0,66758000000.0
2025-05-02,Q2,2025,331233000000.0,118674000000.0,212559000000.0,264437000000.0,144571000000.0,119866000000.0,66796000000.0,66796000000.0
2025-08-01,Q3,2025,331495000000.0,122491000000.0,209004000000.0,265665000000.0,141120000000.0,124545000000.0,65830000000.0,65830000000.0
