filing_date,fiscal_period,fiscal_year,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow
2012-07-25,Q3,2012,10189000000.0,-12310000000.0,-55000000.0,-2176000000.0
2013-01-24,Q1,2013,23426000000.0,-13521000000.0,-4497000000.0,5408000000.0
2013-04-24,Q2,2013,12504000000.0,-14357000000.0,-2248000000.0,-4101000000.0
2013-07-24,Q3,2013,7828000000.0,-6507000000.0,-2126000000.0,-805000000.0
2014-01-28,Q1,2014,22670000000.0,-15103000000.0,-7749000000.0,-182000000.0
2014-04-24,Q2,2014,13538000000.0,11741000000.0,-20407000000.0,4872000000.0
2014-07-23,Q3,2014,10255000000.0,-22214000000.0,5987000000.0,-5972000000.0
2015-01-28,Q1,2015,33722000000.0,-21165000000.0,-6923000000.0,5634000000.0
2015-04-28,Q2,2015,19081000000.0,-22331000000.0,-1739000000.0,-4989000000.0
2015-07-22,Q3,2015,14988000000.0,-11403000000.0,-2755000000.0,830000000.0
2016-01-27,Q1,2016,27463000000.0,-20450000000.0,-11444000000.0,-4431000000.0
2016-04-27,Q2,2016,11601000000.0,-13660000000.0,6884000000.0,4825000000.0
2016-07-27,Q3,2016,10634000000.0,-4470000000.0,-9441000000.0,-3277000000.0
2017-02-01,Q1,2017,27056000000.0,-19122000000.0,-12047000000.0,-4113000000.0
2017-05-03,Q2,2017,12523000000.0,-14202000000.0,465000000.0,-1214000000.0
2017-08-02,Q3,2017,8363000000.0,-3180000000.0,-1769000000.0,3414000000.0
2018-02-02,Q1,2018,28293000000.0,-13590000000.0,-7501000000.0,7202000000.0
2018-05-02,Q2,2018,15130000000.0,28710000000.0,-26272000000.0,17568000000.0
2018-08-01,Q3,2018,14488000000.0,3947000000.0,-31523000000.0,-13088000000.0
2019-01-30,Q1,2019,26690000000.0,5844000000.0,-13676000000.0,18858000000.0
2019-05-01,Q2,2019,11155000000.0,13348000000.0,-29457000000.0,-4954000000.0
2019-07-31,Q3,2019,11636000000.0,27502000000.0,-26804000000.0,12334000000.0
2020-01-29,Q1,2020,30516000000.0,-13668000000.0,-25407000000.0,-8559000000.0
2020-05-01,Q2,2020,13311000000.0,9013000000.0,-20940000000.0,1384000000.0
2020-07-31,Q3,2020,16271000000.0,-5165000000.0,-19116000000.0,-8010000000.0
2021-01-28,Q1,2021,38763000000.0,-8584000000.0,-32249000000.0,-2070000000.0
2021-04-29,Q2,2021,23981000000.0,-10368000000.0,-11326000000.0,2287000000.0
2021-07-28,Q3,2021,21094000000.0,3572000000.0,-29396000000.0,-4730000000.0
2022-01-28,Q1,2022,46966000000.0,-16106000000.0,-28159000000.0,2701000000.0
2022-04-29,Q2,2022,28166000000.0,-9265000000.0,-28351000000.0,-9450000000.0
2022-07-29,Q3,2022,22892000000.0,4234000000.0,-27445000000.0,-319000000.0
2023-02-03,Q1,2023,34005000000.0,-1445000000.0,-35563000000.0,-3003000000.0
2023-05-05,Q2,2023,28560000000.0,2319000000.0,-25724000000.0,5155000000.0
2023-08-04,Q3,2023,26380000000.0,437000000.0,-24048000000.0,2769000000.0
2024-02-02,Q1,2024,39895000000.0,1927000000.0,-30585000000.0,11237000000.0
2024-05-03,Q2,2024,22690000000.0,-310000000.0,-30433000000.0,-8053000000.0
2024-08-02,Q3,2024,28858000000.0,-127000000.0,-36017000000.0,-7286000000.0
2025-01-31,Q1,2025,29935000000.0,9792000000.0,-39371000000.0,356000000.0
2025-05-02,Q2,2025,23952000000.0,2917000000.0,-29006000000.0,-2137000000.0
2025-08-01,Q3,2025,27867000000.0,5073000000.0,-24833000000.0,8107000000.0
