filing_date,fiscal_period,fiscal_year,start_date,end_date,cik,company_name,revenues,cost_of_revenue,gross_profit,operating_expenses,operating_income,net_income,diluted_eps,basic_eps,total_assets,current_assets,noncurrent_assets,total_liabilities,current_liabilities,noncurrent_liabilities,stockholders_equity,retained_earnings,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow,gross_profit_margin,operating_margin,net_profit_margin,current_ratio,debt_to_assets,debt_to_equity,roe,roa
2012-07-25,Q3,2012,2012-04-01,2012-06-30,0000320193,APPLE INC,35023000000.0,20029000000.0,14994000000.0,3421000000.0,11573000000.0,8824000000.0,9.32,9.42,162896000000.0,51943000000.0,110953000000.0,51150000000.0,33060000000.0,18090000000.0,111746000000.0,111746000000.0,10189000000.0,-12310000000.0,-55000000.0,-2176000000.0,42.81186648773663,33.04399965736802,25.19487194129572,1.5711736237144585,0.3140040271093213,0.45773450503821167,7.896479516045317,5.4169531480208235
2013-01-24,Q1,2013,2012-09-30,2012-12-29,0000320193,APPLE INC,54512000000.0,33452000000.0,21060000000.0,3850000000.0,17210000000.0,13078000000.0,13.81,13.93,196088000000.0,72348000000.0,123740000000.0,68742000000.0,46879000000.0,21863000000.0,127346000000.0,127346000000.0,23426000000.0,-13521000000.0,-4497000000.0,5408000000.0,38.63369533313766,31.571030231875554,23.991047842676842,1.543292305723245,0.3505670923258945,0.5398049408697564,10.269659039153172,6.669454530618905
2013-04-24,Q2,2013,2012-12-30,2013-03-30,0000320193,APPLE INC,43603000000.0,27254000000.0,16349000000.0,3791000000.0,12558000000.0,9547000000.0,10.09,10.16,194743000000.0,63337000000.0,131406000000.0,59253000000.0,35508000000.0,23745000000.0,135490000000.0,135490000000.0,12504000000.0,-14357000000.0,-2248000000.0,-4101000000.0,37.495126482122785,28.800770589179642,21.89528243469486,1.7837388757463106,0.3042625408872206,0.4373237877334121,7.046276477968854,4.902358492988195
2013-07-24,Q3,2013,2013-03-31,2013-06-29,0000320193,APPLE INC,35323000000.0,22299000000.0,13024000000.0,3823000000.0,9201000000.0,6900000000.0,7.47,7.51,199856000000.0,68219000000.0,131637000000.0,76502000000.0,36319000000.0,40183000000.0,123354000000.0,123354000000.0,7828000000.0,-6507000000.0,-2126000000.0,-805000000.0,36.87116043371175,26.04818390283951,19.53401466466608,1.8783281478014262,0.38278560563605796,0.6201825640027887,5.593657279050538,3.4524857897686334
2014-01-28,Q1,2014,2013-09-29,2013-12-28,0000320193,APPLE INC,57594000000.0,35748000000.0,21846000000.0,4383000000.0,17463000000.0,13072000000.0,2.07,2.08,225184000000.0,80347000000.0,144837000000.0,95500000000.0,53769000000.0,41731000000.0,129684000000.0,129684000000.0,22670000000.0,-15103000000.0,-7749000000.0,-182000000.0,37.93103448275862,30.32086675695385,22.69680869535021,1.4942996894121148,0.4240976268296149,0.7364054162425588,10.07988649332223,5.805030552792383
2014-04-24,Q2,2014,2013-12-29,2014-03-29,0000320193,APPLE INC,45646000000.0,27699000000.0,17947000000.0,4354000000.0,13593000000.0,10223000000.0,1.66,1.67,205989000000.0,70541000000.0,135448000000.0,85810000000.0,43208000000.0,42602000000.0,120179000000.0,120179000000.0,13538000000.0,11741000000.0,-20407000000.0,4872000000.0,39.31779345397187,29.779170135389737,22.396266923717302,1.632591186817256,0.41657564238867123,0.7140182561013155,8.506477837226138,4.9628863677186645
2014-07-23,Q3,2014,2014-03-30,2014-06-28,0000320193,APPLE INC,37432000000.0,22697000000.0,14735000000.0,4453000000.0,10282000000.0,7748000000.0,1.28,1.29,222520000000.0,67949000000.0,154571000000.0,101580000000.0,46205000000.0,55375000000.0,120940000000.0,120940000000.0,10255000000.0,-22214000000.0,5987000000.0,-5972000000.0,39.36471468262449,27.468476170121818,20.698867279333193,1.4705984200844064,0.4564982922883336,0.8399206217959319,6.406482553332231,3.4819342081610647
2015-01-28,Q1,2015,2014-09-28,2014-12-27,0000320193,APPLE INC,74599000000.0,44858000000.0,29741000000.0,5495000000.0,24246000000.0,18024000000.0,3.06,3.08,261894000000.0,83403000000.0,178491000000.0,138566000000.0,73611000000.0,64955000000.0,123328000000.0,123328000000.0,33722000000.0,-21165000000.0,-6923000000.0,5634000000.0,39.86782664646979,32.50177616321935,24.161181785278625,1.1330235970167502,0.5290919226862777,1.123556694343539,14.614686040477427,6.882173703864923
2015-04-28,Q2,2015,2014-12-28,2015-03-28,0000320193,APPLE INC,58010000000.0,34354000000.0,23656000000.0,5378000000.0,18278000000.0,13569000000.0,2.33,2.34,261194000000.0,67891000000.0,193303000000.0,132188000000.0,58729000000.0,73459000000.0,129006000000.0,129006000000.0,19081000000.0,-22331000000.0,-1739000000.0,-4989000000.0,40.77917600413722,31.508360627478023,23.39079469057059,1.1560046995521804,0.5060912578390009,1.0246655194332046,10.518115436491327,5.194989165141619
2015-07-22,Q3,2015,2015-03-29,2015-06-27,0000320193,APPLE INC,49605000000.0,29924000000.0,19681000000.0,5598000000.0,14083000000.0,10677000000.0,1.85,1.86,273151000000.0,70953000000.0,202198000000.0,147474000000.0,65285000000.0,82189000000.0,125677000000.0,125677000000.0,14988000000.0,-11403000000.0,-2755000000.0,830000000.0,39.67543594395726,28.390283237576856,21.524039915331116,1.0868193306272498,0.5398991766458845,1.173436667011466,8.495587895955504,3.9088269858063858
