filing_date,fiscal_period,fiscal_year,start_date,end_date,cik,company_name,revenues,cost_of_revenue,gross_profit,operating_expenses,operating_income,net_income,diluted_eps,basic_eps,total_assets,current_assets,noncurrent_assets,total_liabilities,current_liabilities,noncurrent_liabilities,stockholders_equity,retained_earnings,operating_cash_flow,investing_cash_flow,financing_cash_flow,free_cash_flow
2012-07-25,Q3,2012,2012-04-01,2012-06-30,0000320193,APPLE INC,35023000000.0,20029000000.0,14994000000.0,3421000000.0,11573000000.0,8824000000.0,9.32,9.42,162896000000.0,51943000000.0,110953000000.0,51150000000.0,33060000000.0,18090000000.0,111746000000.0,111746000000.0,10189000000.0,-12310000000.0,-55000000.0,-2176000000.0
2013-01-24,Q1,2013,2012-09-30,2012-12-29,0000320193,APPLE INC,54512000000.0,33452000000.0,21060000000.0,3850000000.0,17210000000.0,13078000000.0,13.81,13.93,196088000000.0,72348000000.0,123740000000.0,68742000000.0,46879000000.0,21863000000.0,127346000000.0,127346000000.0,23426000000.0,-13521000000.0,-4497000000.0,5408000000.0
2013-04-24,Q2,2013,2012-12-30,2013-03-30,0000320193,APPLE INC,43603000000.0,27254000000.0,16349000000.0,3791000000.0,12558000000.0,9547000000.0,10.09,10.16,194743000000.0,63337000000.0,131406000000.0,59253000000.0,35508000000.0,23745000000.0,135490000000.0,135490000000.0,12504000000.0,-14357000000.0,-2248000000.0,-4101000000.0
2013-07-24,Q3,2013,2013-03-31,2013-06-29,0000320193,APPLE INC,35323000000.0,22299000000.0,13024000000.0,3823000000.0,9201000000.0,6900000000.0,7.47,7.51,199856000000.0,68219000000.0,131637000000.0,76502000000.0,36319000000.0,40183000000.0,123354000000.0,123354000000.0,7828000000.0,-6507000000.0,-2126000000.0,-805000000.0
2014-01-28,Q1,2014,2013-09-29,2013-12-28,0000320193,APPLE INC,57594000000.0,35748000000.0,21846000000.0,4383000000.0,17463000000.0,13072000000.0,2.07,2.08,225184000000.0,80347000000.0,144837000000.0,95500000000.0,53769000000.0,41731000000.0,129684000000.0,129684000000.0,22670000000.0,-15103000000.0,-7749000000.0,-182000000.0
2014-04-24,Q2,2014,2013-12-29,2014-03-29,0000320193,APPLE INC,45646000000.0,27699000000.0,17947000000.0,4354000000.0,13593000000.0,10223000000.0,1.66,1.67,205989000000.0,70541000000.0,135448000000.0,85810000000.0,43208000000.0,42602000000.0,120179000000.0,120179000000.0,13538000000.0,11741000000.0,-20407000000.0,4872000000.0
2014-07-23,Q3,2014,2014-03-30,2014-06-28,0000320193,APPLE INC,37432000000.0,22697000000.0,14735000000.0,4453000000.0,10282000000.0,7748000000.0,1.28,1.29,222520000000.0,67949000000.0,154571000000.0,101580000000.0,46205000000.0,55375000000.0,120940000000.0,120940000000.0,10255000000.0,-22214000000.0,5987000000.0,-5972000000.0
2015-01-28,Q1,2015,2014-09-28,2014-12-27,0000320193,APPLE INC,74599000000.0,44858000000.0,29741000000.0,5495000000.0,24246000000.0,18024000000.0,3.06,3.08,261894000000.0,83403000000.0,178491000000.0,138566000000.0,73611000000.0,64955000000.0,123328000000.0,123328000000.0,33722000000.0,-21165000000.0,-6923000000.0,5634000000.0
2015-04-28,Q2,2015,2014-12-28,2015-03-28,0000320193,APPLE INC,58010000000.0,34354000000.0,23656000000.0,5378000000.0,18278000000.0,13569000000.0,2.33,2.34,261194000000.0,67891000000.0,193303000000.0,132188000000.0,58729000000.0,73459000000.0,129006000000.0,129006000000.0,19081000000.0,-22331000000.0,-1739000000.0,-4989000000.0
2015-07-22,Q3,2015,2015-03-29,2015-06-27,0000320193,APPLE INC,49605000000.0,29924000000.0,19681000000.0,5598000000.0,14083000000.0,10677000000.0,1.85,1.86,273151000000.0,70953000000.0,202198000000.0,147474000000.0,65285000000.0,82189000000.0,125677000000.0,125677000000.0,14988000000.0,-11403000000.0,-2755000000.0,830000000.0
2016-01-27,Q1,2016,2015-09-27,2015-12-26,0000320193,APPLE INC,75872000000.0,45449000000.0,30423000000.0,6252000000.0,24171000000.0,18361000000.0,3.28,3.3,293284000000.0,76219000000.0,217065000000.0,165017000000.0,76092000000.0,88925000000.0,128267000000.0,128267000000.0,27463000000.0,-20450000000.0,-11444000000.0,-4431000000.0
2016-04-27,Q2,2016,2015-12-27,2016-03-26,0000320193,APPLE INC,50557000000.0,30636000000.0,19921000000.0,5934000000.0,13987000000.0,10516000000.0,1.9,1.91,305277000000.0,87592000000.0,217685000000.0,174820000000.0,68265000000.0,106555000000.0,130457000000.0,130457000000.0,11601000000.0,-13660000000.0,6884000000.0,4825000000.0
2016-07-27,Q3,2016,2016-03-27,2016-06-25,0000320193,APPLE INC,42358000000.0,26252000000.0,16106000000.0,6001000000.0,10105000000.0,7796000000.0,1.42,1.43,305602000000.0,93761000000.0,211841000000.0,179061000000.0,71486000000.0,107575000000.0,126541000000.0,126541000000.0,10634000000.0,-4470000000.0,-9441000000.0,-3277000000.0
2017-02-01,Q1,2017,2016-09-25,2016-12-31,0000320193,APPLE INC,78351000000.0,48175000000.0,30176000000.0,6817000000.0,23359000000.0,17891000000.0,3.36,3.38,331141000000.0,103332000000.0,227809000000.0,198751000000.0,84130000000.0,114621000000.0,132390000000.0,132390000000.0,27056000000.0,-19122000000.0,-12047000000.0,-4113000000.0
2017-05-03,Q2,2017,2017-01-01,2017-04-01,0000320193,APPLE INC,52896000000.0,32305000000.0,20591000000.0,6494000000.0,14097000000.0,11029000000.0,2.1,2.11,334532000000.0,101990000000.0,232542000000.0,200450000000.0,73342000000.0,127108000000.0,134082000000.0,134082000000.0,12523000000.0,-14202000000.0,465000000.0,-1214000000.0
2017-08-02,Q3,2017,2017-04-02,2017-07-01,0000320193,APPLE INC,45408000000.0,27920000000.0,17488000000.0,6720000000.0,10768000000.0,8717000000.0,1.67,1.68,345173000000.0,112875000000.0,232298000000.0,212748000000.0,81302000000.0,131446000000.0,132425000000.0,132425000000.0,8363000000.0,-3180000000.0,-1769000000.0,3414000000.0
2018-02-02,Q1,2018,2017-10-01,2017-12-30,0000320193,APPLE INC,88293000000.0,54381000000.0,33912000000.0,7638000000.0,26274000000.0,20065000000.0,3.89,3.92,406794000000.0,143810000000.0,262984000000.0,266595000000.0,115788000000.0,150807000000.0,140199000000.0,140199000000.0,28293000000.0,-13590000000.0,-7501000000.0,7202000000.0
2018-05-02,Q2,2018,2017-12-31,2018-03-31,0000320193,APPLE INC,61137000000.0,37715000000.0,23422000000.0,7528000000.0,15894000000.0,13822000000.0,2.73,2.75,367502000000.0,130053000000.0,237449000000.0,240624000000.0,89320000000.0,151304000000.0,126878000000.0,126878000000.0,15130000000.0,28710000000.0,-26272000000.0,17568000000.0
2018-08-01,Q3,2018,2018-04-01,2018-06-30,0000320193,APPLE INC,53265000000.0,32844000000.0,20421000000.0,7809000000.0,12612000000.0,11519000000.0,2.34,2.36,349197000000.0,115761000000.0,233436000000.0,234248000000.0,88548000000.0,145700000000.0,114949000000.0,114949000000.0,14488000000.0,3947000000.0,-31523000000.0,-13088000000.0
2019-01-30,Q1,2019,2018-09-30,2018-12-29,0000320193,APPLE INC,84310000000.0,52279000000.0,32031000000.0,8685000000.0,23346000000.0,19965000000.0,4.18,4.22,373719000000.0,140828000000.0,232891000000.0,255827000000.0,108283000000.0,147544000000.0,117892000000.0,117892000000.0,26690000000.0,5844000000.0,-13676000000.0,18858000000.0
2019-05-01,Q2,2019,2018-12-30,2019-03-30,0000320193,APPLE INC,58015000000.0,36194000000.0,21821000000.0,8406000000.0,13415000000.0,11561000000.0,2.46,2.47,341998000000.0,123346000000.0,218652000000.0,236138000000.0,93772000000.0,142366000000.0,105860000000.0,105860000000.0,11155000000.0,13348000000.0,-29457000000.0,-4954000000.0
2019-07-31,Q3,2019,2019-03-31,2019-06-29,0000320193,APPLE INC,53809000000.0,33582000000.0,20227000000.0,8683000000.0,11544000000.0,10044000000.0,2.18,2.2,322239000000.0,134973000000.0,187266000000.0,225783000000.0,89704000000.0,136079000000.0,96456000000.0,96456000000.0,11636000000.0,27502000000.0,-26804000000.0,12334000000.0
2020-01-29,Q1,2020,2019-09-29,2019-12-28,0000320193,Apple Inc.,91819000000.0,56602000000.0,35217000000.0,9648000000.0,25569000000.0,22236000000.0,1.25,1.26,340618000000.0,163231000000.0,177387000000.0,251087000000.0,102161000000.0,148926000000.0,89531000000.0,89531000000.0,30516000000.0,-13668000000.0,-25407000000.0,-8559000000.0
2020-05-01,Q2,2020,2019-12-29,2020-03-28,0000320193,Apple Inc.,58313000000.0,35943000000.0,22370000000.0,9517000000.0,12853000000.0,11249000000.0,0.64,0.64,320400000000.0,143753000000.0,176647000000.0,241975000000.0,96094000000.0,145881000000.0,78425000000.0,78425000000.0,13311000000.0,9013000000.0,-20940000000.0,1384000000.0
2020-07-31,Q3,2020,2020-03-29,2020-06-27,0000320193,Apple Inc.,59685000000.0,37005000000.0,22680000000.0,9589000000.0,13091000000.0,11253000000.0,0.65,0.65,317344000000.0,140065000000.0,177279000000.0,245062000000.0,95318000000.0,149744000000.0,72282000000.0,72282000000.0,16271000000.0,-5165000000.0,-19116000000.0,-8010000000.0
2021-01-28,Q1,2021,2020-09-27,2020-12-26,0000320193,Apple Inc.,111439000000.0,67111000000.0,44328000000.0,10794000000.0,33534000000.0,28755000000.0,1.68,1.7,354054000000.0,154106000000.0,199948000000.0,287830000000.0,132507000000.0,155323000000.0,66224000000.0,66224000000.0,38763000000.0,-8584000000.0,-32249000000.0,-2070000000.0
2021-04-29,Q2,2021,2020-12-27,2021-03-27,0000320193,Apple Inc.,89584000000.0,51505000000.0,38079000000.0,10576000000.0,27503000000.0,23630000000.0,1.4,1.41,337158000000.0,121465000000.0,215693000000.0,267980000000.0,106385000000.0,161595000000.0,69178000000.0,69178000000.0,23981000000.0,-10368000000.0,-11326000000.0,2287000000.0
2021-07-28,Q3,2021,2021-03-28,2021-06-26,0000320193,Apple Inc.,81434000000.0,46179000000.0,35255000000.0,11129000000.0,24126000000.0,21744000000.0,1.3,1.31,329840000000.0,114423000000.0,215417000000.0,265560000000.0,107754000000.0,157806000000.0,64280000000.0,64280000000.0,21094000000.0,3572000000.0,-29396000000.0,-4730000000.0
2022-01-28,Q1,2022,2021-09-26,2021-12-25,0000320193,Apple Inc.,123945000000.0,69702000000.0,54243000000.0,12755000000.0,41488000000.0,34630000000.0,2.1,2.11,381191000000.0,153154000000.0,228037000000.0,309259000000.0,147574000000.0,161685000000.0,71932000000.0,71932000000.0,46966000000.0,-16106000000.0,-28159000000.0,2701000000.0
2022-04-29,Q2,2022,2021-12-26,2022-03-26,0000320193,Apple Inc.,97278000000.0,54719000000.0,42559000000.0,12580000000.0,29979000000.0,25010000000.0,1.52,1.54,350662000000.0,118180000000.0,232482000000.0,283263000000.0,127508000000.0,155755000000.0,67399000000.0,67399000000.0,28166000000.0,-9265000000.0,-28351000000.0,-9450000000.0
2022-07-29,Q3,2022,2022-03-27,2022-06-25,0000320193,Apple Inc.,82959000000.0,47074000000.0,35885000000.0,12809000000.0,23076000000.0,19442000000.0,1.2,1.2,336309000000.0,112292000000.0,224017000000.0,278202000000.0,129873000000.0,148329000000.0,58107000000.0,58107000000.0,22892000000.0,4234000000.0,-27445000000.0,-319000000.0
2023-02-03,Q1,2023,2022-09-25,2022-12-31,0000320193,Apple Inc.,117154000000.0,66822000000.0,50332000000.0,14316000000.0,36016000000.0,29998000000.0,1.88,1.89,346747000000.0,128777000000.0,217970000000.0,290020000000.0,137286000000.0,152734000000.0,56727000000.0,56727000000.0,34005000000.0,-1445000000.0,-35563000000.0,-3003000000.0
2023-05-05,Q2,2023,2023-01-01,2023-04-01,0000320193,Apple Inc.,94836000000.0,52860000000.0,41976000000.0,13658000000.0,28318000000.0,24160000000.0,1.52,1.53,332160000000.0,112913000000.0,219247000000.0,270002000000.0,120075000000.0,149927000000.0,62158000000.0,62158000000.0,28560000000.0,2319000000.0,-25724000000.0,5155000000.0
2023-08-04,Q3,2023,2023-04-02,2023-07-01,0000320193,Apple Inc.,81797000000.0,45384000000.0,36413000000.0,13415000000.0,22998000000.0,19881000000.0,1.26,1.27,335038000000.0,122659000000.0,212379000000.0,274764000000.0,124963000000.0,149801000000.0,60274000000.0,60274000000.0,26380000000.0,437000000.0,-24048000000.0,2769000000.0
2024-02-02,Q1,2024,2023-10-01,2023-12-30,0000320193,Apple Inc.,119575000000.0,64720000000.0,54855000000.0,14482000000.0,40373000000.0,33916000000.0,2.18,2.19,353514000000.0,143692000000.0,209822000000.0,279414000000.0,133973000000.0,145441000000.0,74100000000.0,74100000000.0,39895000000.0,1927000000.0,-30585000000.0,11237000000.0
2024-05-03,Q2,2024,2023-12-31,2024-03-30,0000320193,Apple Inc.,90753000000.0,48482000000.0,42271000000.0,14371000000.0,27900000000.0,23636000000.0,1.53,1.53,337411000000.0,128416000000.0,208995000000.0,263217000000.0,123822000000.0,139395000000.0,74194000000.0,74194000000.0,22690000000.0,-310000000.0,-30433000000.0,-8053000000.0
2024-08-02,Q3,2024,2024-03-31,2024-06-29,0000320193,Apple Inc.,85777000000.0,46099000000.0,39678000000.0,14326000000.0,25352000000.0,21448000000.0,1.4,1.4,331612000000.0,125435000000.0,206177000000.0,264904000000.0,131624000000.0,133280000000.0,66708000000.0,66708000000.0,28858000000.0,-127000000.0,-36017000000.0,-7286000000.0
2025-01-31,Q1,2025,2024-09-29,2024-12-28,0000320193,Apple Inc.,124300000000.0,66025000000.0,58275000000.0,15443000000.0,42832000000.0,36330000000.0,2.4,2.41,344085000000.0,133240000000.0,210845000000.0,277327000000.0,144365000000.0,132962000000.0,66758000000.0,66758000000.0,29935000000.0,9792000000.0,-39371000000.0,356000000.0
2025-05-02,Q2,2025,2024-12-29,2025-03-29,0000320193,Apple Inc.,95359000000.0,50492000000.0,44867000000.0,15278000000.0,29589000000.0,24780000000.0,1.65,1.65,331233000000.0,118674000000.0,212559000000.0,264437000000.0,144571000000.0,119866000000.0,66796000000.0,66796000000.0,23952000000.0,2917000000.0,-29006000000.0,-2137000000.0
2025-08-01,Q3,2025,2025-03-30,2025-06-28,0000320193,Apple Inc.,94036000000.0,50318000000.0,43718000000.0,15516000000.0,28202000000.0,23434000000.0,1.57,1.57,331495000000.0,122491000000.0,209004000000.0,265665000000.0,141120000000.0,124545000000.0,65830000000.0,65830000000.0,27867000000.0,5073000000.0,-24833000000.0,8107000000.0
